k10,k_kinetics,xNH3_r2,xNO3_r2,xNO2_r2,xNOrg_r2,xN2_r2,ANH3_r2,ANO3_r2,ANO2_r2,ANOrg_r2,AN2_r2,r2_mean,r2_all
0,00000000000,-25.952668811177823,-4.549012297296824,-56.80012012569335,-3.5304561117088618,-1.7908645172296098,0.9367072652734522,-30.10767731876209,-0.4350989512403851,0.9921082832947578,-2.249747625434175,-12.34868302099749, 0.9966434969256932
1,00000000001,-24.369007477324914,-5.041251468443429,-24.716507473201894,-4.229265076301648,-1.795837495236876,0.9369544820777987,-3904121.6892227577,-0.07806565651657871,0.9940233368812429,-1.840327489885591,-390418.1828507075, 0.9969954357493673
2,00000000010,-0.21401610241654967,-14.559100509856515,-20.434396294039022,-7.23734086085175,-1.7917199444400351,-17.146594071824627,-317664.7685369472,-2.7945453548232986,0.5793459101291977,-2.891373610610981,-31773.125827778596, 0.9953623758481671
3,00000000011,0.6985038577220126,-2.910749111808561,-5.269117669513204,-0.9685848440092291,-0.42309211154198434,0.7873557851124481,-2335.339477324232,-0.27705311426606327,-89.73433045161015,-0.33104483541713847,-243.37675898195644, -0.055233195033653315
4,00000000100,-21.686827766804875,-141.06847678324664,-21.957535004970424,-1.8959213333790874,-1.7909090322220012,0.9325145667660034,-87796.60180969533,-4.080100989927273,0.7433488744820274,-1.7811887538031272,-8798.918690591843, 0.9984800168747329
5,00000000101,-14.065272202662573,-5.049231076781352,-20.131831884601805,-5.168026229835488,-1.8020630255563614,0.9204126441421182,-83356.32552754378,-0.4304955315467469,0.574368319112837,-1.870679488259488,-8340.334834601977, 0.9969467991005185
6,00000000110,-39.363926853579095,-20.07269227106173,-34.45611181413737,-312.89698612458653,-1.790792502824285,0.8462912982339722,-113475.23764752272,-0.3638643636215235,0.7995312920793043,-1.9577132985800132,-11388.44939121608, 0.998321403964539
7,00000000111,-38.54999844094951,-6.281753445044586,-33.33372490195026,-5.7753323183144385,-1.7911317000206521,0.8885457825048524,-30141137.645880453,0.19270436590638318,0.7990899062144344,-2.0437691492158656,-3014122.3541250355, 0.9975472775883266
8,00000001000,-10.029931824558322,-3.458178588214855,-3.298853481577358,-2.9067787954157236,-1.7912436873393394,0.9185028091215848,-16650.490691406227,0.16955713388542126,0.9813207253574974,-1.6217207712074213,-1667.1528017886176, 0.9943074128872188
9,00000001001,-62.90020031964192,-6.691416319599148,-20.50694850018374,-6.061144685479169,-1.7912362816078455,0.9480876053361897,-33912358.46304103,0.4485410153927011,0.9939786640800495,-1.8410795850492683,-3391245.586445944, 0.9977450160869161
