k_kinetics,ks_res,r2
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","[ 1.55523950e-04  2.05009716e-06  3.74923323e-05 -2.76295974e-06
  7.17591733e-07 -1.19690561e-07  9.86982186e-04 -3.05409131e-02
  1.35453796e-02  5.41505396e-03 -2.25010075e-02]","0.8124185944967925"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1)","[ 1.55214575e-04  2.10319221e-06  3.76751296e-05 -2.82908277e-06
  7.17582314e-07 -1.19688895e-07  9.86974825e-04 -3.09165883e-02
  1.35457153e-02  5.41569128e-03 -3.69194459e-04]","0.8142171969928428"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0)","[ 6.81451841e-04  2.04947748e-06 -2.25464968e-04 -2.76219008e-06
  7.32769291e-07 -1.22413795e-07  1.00826339e-03 -3.10855346e-02
  1.32831716e-02  7.00697997e-05 -2.24984598e-02]","0.8108134886555125"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1)","[ 6.79714691e-04  2.10266678e-06 -2.24568269e-04 -2.82842900e-06
  7.32718602e-07 -1.22404721e-07  1.00817890e-03 -3.14604938e-02
  1.32842273e-02  7.01275397e-05 -3.69166078e-04]","0.8126158815269127"
"(0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0)","[ 1.29980884e-03  4.10858245e-06  6.10161610e-04 -5.32651410e-06
  7.02489405e-07 -1.16466979e-07  8.00991377e-04 -2.92032787e-02
  2.50417292e-02  3.06665773e-03 -2.24977441e-02]","0.793370355698932"
"(0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1)","[ 1.30491033e-03  4.16554687e-06  6.13040433e-04 -5.39744022e-06
  7.02408203e-07 -1.16449973e-07  8.00106615e-04 -2.95343127e-02
  2.49885058e-02  3.05619031e-03 -3.68522637e-04]","0.7949737101043695"
"(0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0)","[ 1.76633125e-03  4.06685971e-06  3.54027394e-04 -5.27454454e-06
  7.16915927e-07 -1.19065778e-07  8.26967063e-04 -2.97392661e-02
  2.46106775e-02  3.40765798e-05 -2.24954515e-02]","0.7925692293845401"
"(0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1)","[ 1.77007881e-03  4.12403022e-06  3.57650100e-04 -5.34574018e-06
  7.16792732e-07 -1.19041218e-07  8.26008912e-04 -3.00697806e-02
  2.45587015e-02  3.39523430e-05 -3.68502450e-04]","0.7941777024176188"
"(0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0)","[-2.77509508e-04  2.05814196e-06  6.74662673e-04 -2.77298110e-06
  6.90181174e-07 -1.14677855e-07  9.16862325e-04 -8.37288190e-03
  1.32967080e-02  6.30947096e-03 -2.00512231e-02]","0.7983958940970844"
"(0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1)","[-2.79497283e-04  2.11045684e-06  6.77329105e-04 -2.83812062e-06
  6.90065075e-07 -1.14656674e-07  9.16581076e-04 -8.48351389e-03
  1.32960548e-02  6.31357514e-03 -3.29384698e-04]","0.799976041127219"
